"logLi","aic","bic","time","volume","no.param"
-42.2005231325662,94.4010462651324,103.321994434724,133.673075914383,5,1
-28.8233496828463,77.6466993656926,95.4885957048752,137.769649028778,5,2
-22.4689340676378,74.9378681352757,101.70071264405,140.754873991013,5,3
-85.0453680312171,180.090736062434,189.011684232025,132.910402059555,10,1
-55.4549412555555,130.909882511111,148.751778850294,137.35546207428,10,2
-35.6065751701831,101.213150340366,127.97599484914,140.699616909027,10,3
-64.8348276435433,139.669655287087,148.590603456678,132.529517889023,15,1
-18.9161262044632,57.8322524089265,75.6741487481091,137.586942911148,15,2
-16.3894981142409,62.7789962284818,89.5418407372557,140.668374061584,15,3
-51.9766026783764,113.953205356753,122.874153526344,132.468285083771,20,1
-33.0156701424482,86.0313402848964,103.873236624079,137.558894872665,20,2
-4.01798153066507,38.0359630613301,64.798807570104,140.519353151321,20,3
-57.6048850986893,125.209770197379,134.13071836697,133.334681034088,25,1
-43.5925595730009,107.185119146002,125.027015485184,137.315380096436,25,2
-38.5212483822201,107.04249676444,133.805341273214,140.12931394577,25,3
-83.6469802184375,177.293960436875,186.214908606466,132.966408967972,35,1
-58.111153634737,136.222307269474,154.064203608657,137.650413990021,35,2
-57.3757010980703,144.751402196141,171.514246704915,140.478226900101,35,3
-159.038116103558,328.076232207115,336.997180376706,132.879457950592,1000,1
-96.4693283889673,212.938656777935,230.780553117117,137.490143060684,1000,2
-73.429018761264,176.858037522528,203.620882031302,140.745141029358,1000,3
