"logLi","aic","bic","time","volume.group","no.param"
-152.863683925716,315.727367851431,328.114051923822,82.9814240932465,1,1
-111.284827047036,242.569654094072,267.343022238854,87.2469310760498,1,2
-103.849391764626,237.698783529251,274.858835746424,89.6337139606476,1,3
-173.07522483064,356.150449661281,368.537133733672,84.1611161231995,2,1
-102.463059189407,224.926118378815,249.699486523597,86.4335861206055,2,2
-86.8127331928775,203.625466385755,240.785518602928,89.9687969684601,2,3
-183.059031329166,376.118062658333,388.504746730724,85.2510690689087,3,1
-116.104506152017,252.209012304034,276.982380448816,88.7299530506134,3,2
-114.967037484532,259.934074969063,297.094127186236,88.8185820579529,3,3
-221.567358997208,453.134717994417,462.055666164008,48.8237328529358,4,1
-67.3581307359454,154.716261471891,172.558157811073,51.055694103241,4,2
-66.731753725856,163.463507451712,190.226351960486,52.5697989463806,4,3
